TreeID,qSpecies,qLegalStatus,PlantDate,DBH,Latitude,Longitude
185048, Cherry,DPW Maintained,,2,37.73606133,-122.4914674
200487, Brisbane Box,DPW Maintained,,3,37.75513733,-122.3878246
237634, Cherry Plum,DPW Maintained,,6,37.75886302,-122.4326884
128089, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,14,37.80696394,-122.4099387
179016, Kwanzan Flowering Cherry,DPW Maintained,,2,37.71368727,-122.4397842
229901, Southern Magnolia,DPW Maintained,,3,37.74380593,-122.4356548
5810, Lemon Bottlebrush,Permitted Site,,6,37.7369431,-122.3864696
213885, Bradford,DPW Maintained,,5,37.75665154,-122.4661007
238351, Kwanzan Flowering Cherry,DPW Maintained,,8,37.75768146,-122.4302476
20675, Acacia Spp,DPW Maintained,,6,37.75891826,-122.4955876
232598, New Zealand Xmas Tree,DPW Maintained,,7,37.7543975,-122.4399468
229002, Brisbane Box,DPW Maintained,,1,37.76002023,-122.421844
178854, Mariposa Plum,DPW Maintained,,4,37.71381578,-122.4122324
125011, Blackwood Acacia,DPW Maintained,,8,37.80508862,-122.4470362
246216, Windmill Palm,DPW Maintained,,4,37.76779973,-122.4438604
18512, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,12,37.79058106,-122.408804
128788, Port Jackson Fig,DPW Maintained,,14,37.79628784,-122.4425136
244519, Victorian Box,DPW Maintained,,13,37.77308716,-122.4297603
179998, Swamp Myrtle,DPW Maintained,,6,37.71121815,-122.4138312
249664, Yoshino Cherry,DPW Maintained,,10,37.79321476,-122.4465811
244084, Karo Tree,DPW Maintained,,3,37.77080856,-122.4520824
202761, Brisbane Box,DPW Maintained,,2,37.77147152,-122.3938603
238937, Ornamental Pear,DPW Maintained,,4,37.75448932,-122.4110771
238697, London Plane,DPW Maintained,,12,37.7373392,-122.4215722
233707, Olive Tree,DPW Maintained,,4,37.75976298,-122.4325799
96749, California Lilac 'Ray Hartman',DPW Maintained,,6,37.75708828,-122.4302089
208945, Blue Gum,DPW Maintained,,40,37.73476376,-122.4681801
214167, California Pepper,DPW Maintained,,7,37.75255618,-122.4656022
25569, London Plane,Permitted Site,,0,37.73993926,-122.4003467
130430, Champa,DPW Maintained,,11,37.80121798,-122.4142007
21429, Canary Island Pine,DPW Maintained,,48,37.73677403,-122.4942247
9879, Lemon Bottlebrush,DPW Maintained,,9,37.78777419,-122.4252728
232400, Myoporum,DPW Maintained,,23,37.77149913,-122.4312985
133215, Victorian Box,DPW Maintained,,5,37.79744995,-122.3985135
128816, Ash Spp,DPW Maintained,,23,37.78176331,-122.4141168
193249, Southern Magnolia,DPW Maintained,,10,37.78458869,-122.4045541
75651, Olive Tree,DPW Maintained,,7,37.77677041,-122.4781325
228613, Brisbane Box,DPW Maintained,,23,37.74493426,-122.4224628
9101, New Zealand Xmas Tree,DPW Maintained,,12,37.7804141,-122.480714
138816, London Plane,DPW Maintained,,20,37.77707912,-122.4284862
232283, White Mulberry,DPW Maintained,,6,37.749874,-122.431966
227242, Glossy Privet,DPW Maintained,,5,37.74656566,-122.4416374
230480, Southern Magnolia,DPW Maintained,,10,37.75308806,-122.4101767
135145, London Plane,DPW Maintained,,10,37.80851321,-122.411139
197417, Purple Robe Locust,DPW Maintained,,5,37.77370752,-122.3915814
116178, Victorian Box,DPW Maintained,,8,37.78739461,-122.3986281
23724, Evergreen Ash,DPW Maintained,,70,37.77794032,-122.4297471
226509, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,12,37.75652431,-122.4133046
133393, London Plane,DPW Maintained,,11,37.78905835,-122.454828
181989, Mexican Fan Palm,DPW Maintained,,15,37.74075538,-122.4871718
224223, Blue Gum,DPW Maintained,,21,37.73746439,-122.4257026
213143, New Zealand Xmas Tree,DPW Maintained,,9,37.72264483,-122.457244
221918, Peppermint Willow,DPW Maintained,,19,37.75366152,-122.4288048
139311, London Plane,DPW Maintained,,14,37.78585111,-122.4248745
240004, Ornamental Pear,DPW Maintained,,13,37.75488226,-122.4290488
13418, London Plane,DPW Maintained,,40,37.7939088,-122.3953659
236163, Victorian Box,DPW Maintained,,8,37.73911068,-122.4276084
134817, London Plane,DPW Maintained,,10,37.80288284,-122.4195871
234810, London Plane,DPW Maintained,,18,37.77409175,-122.420347
240282, Coast Live Oak,DPW Maintained,,3,37.7431073,-122.4352889
14924, Carob,DPW Maintained,,12,37.74269712,-122.38569
5379, Southern Magnolia,DPW Maintained,,60,37.76491628,-122.4262601
231181, Santa Cruz Ironwood,DPW Maintained,,1,37.74939227,-122.4088036
3446, Lemon Bottlebrush,DPW Maintained,,35,37.7453499,-122.4444185
6084, Victorian Box,DPW Maintained,,12,37.78033346,-122.440353
197440, Purple Robe Locust,DPW Maintained,,4,37.77127511,-122.3913441
141621, Southern Magnolia,DPW Maintained,,5,37.77466979,-122.4473934
221649, Trident Maple,DPW Maintained,,4,37.76616695,-122.4292118
182056, Blackwood Acacia,DPW Maintained,,16,37.762384,-122.4866283
141550,,DPW Maintained,,12,37.77734428,-122.4504211
120272, Coast Redwood,DPW Maintained,,13,37.78718008,-122.4842441
132897, Victorian Box,DPW Maintained,,5,37.79343676,-122.439897
235766, Cherry Plum,DPW Maintained,,8,37.75294675,-122.4044447
182235, Cherry Plum,DPW Maintained,,4,37.76062623,-122.4866668
27794, Yarwood Sycamore,Permitted Site,,12,37.79658901,-122.3955269
230109, Southern Magnolia,DPW Maintained,,2,37.74619666,-122.4143592
221603, Trident Maple,DPW Maintained,,1,37.7378032,-122.412123
237149, Kwanzan Flowering Cherry,DPW Maintained,,1,37.76159701,-122.4080679
189765, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,18,37.75066047,-122.4016116
195119, London Plane,DPW Maintained,,9,37.76087654,-122.3906053
240627, Coast Redwood,DPW Maintained,,8,37.74063273,-122.4354334
213176, New Zealand Xmas Tree,DPW Maintained,,8,37.7195783,-122.4613183
185384, New Zealand Xmas Tree,DPW Maintained,,8,37.74265566,-122.494309
